POSITION,CHAMP_YEAR,DIVISION,EVENT,SEX,ATHLETE,YEAR,TEAM,TIME,TIME_SECS,MARK,CONV,POINTS,MEET,MEET DATE
39,2010,D1,100,Men,"Mullings, Dwight",SR-4,Mississippi St.,10:38,10.38,,,,25th Jesse Owens Track Classic,"Apr 30, 2010"
39,2010,D1,100,Men,"Ricks, Keith",SR-4,Virginia Tech,10:38,10.38,,,,2010 Florida Relays,"Apr 2, 2010"
42,2010,D1,100,Men,"Adeniyan, Suji",SR-4,UTEP,10:39,10.39,,,,UNM Don Kirby Invitational,"May 1, 2010"
42,2010,D1,100,Men,"Mitchell, Kenny",SR-4,Georgetown,10:39,10.39,,,,31st Sun Angel Track Classic - University,"Apr 8, 2010"
42,2010,D1,100,Men,"Trice, Lawrence",SR-4,Arizona State,10:39,10.39,,,,Double Dual (ASU-NAU-UA),"May 1, 2010"
45,2010,D1,100,Men,"Benjamin, Travis",JR-3,Miami,10:40,10.4,,,,ACC Outdoor Championships,"Apr 15, 2010"
45,2010,D1,100,Men,"Harts, Trey",SR-4,Baylor,10:40,10.4,,,,Texas Invite,"May 1, 2010"
45,2010,D1,100,Men,"Rhodes, Trevante",SR-4,Texas,10:40,10.4,,,,Arkansas vs. Texas,"Apr 17, 2010"
48,2010,D1,100,Men,"Dungey, Mychal",SR-4,TCU,10:41,10.41,,,,Mountain West Outdoor Track & Field Championships,"May 12, 2010"
48,2010,D1,100,Men,"Laryea-Akrong, Allah",,Utah Valley,10:41,10.41,,,,Eccles Coliseum Spring Collegiate Meet,"May 1, 2010"
48,2010,D1,100,Men,"Smellie, Gavin",SR-4,Western Kentucky,10:41,10.41,,,,Sun Belt Outdoor Track & Field Championships,"May 7, 2010"
51,2010,D1,100,Men,"Anderson, Aaron",JR-3,Hampton,10:42,10.42,,,,MEAC Outdoor Championships,"May 6, 2010"
51,2010,D1,100,Men,"Ike, Bradley",SR-4,Cal St. Northridge,10:42,10.42,,,,Big West Conference Track & Field Championships,"May 14, 2010"
51,2010,D1,100,Men,"Jadusingh, Ray",SR-4,Alabama,10:42,10.42,,,,2010 Florida Relays,"Apr 2, 2010"
54,2010,D1,100,Men,"Aje, Kevin",SR-4,Texas State,10:43,10.43,,,,Southland Conference Outdoor Championships,"May 14, 2010"
54,2010,D1,100,Men,"Goodwin, Marquise",,Texas,10:43,10.43,,,,Arkansas vs. Texas,"Apr 17, 2010"
54,2010,D1,100,Men,"LeBlanc, Michael",SR-4,Syracuse,10:43,10.43,,,,31st Sun Angel Track Classic - University,"Apr 8, 2010"
54,2010,D1,100,Men,"Murdock, Justin",SR-4,Clemson,10:43,10.43,,,,ACC Outdoor Championships,"Apr 15, 2010"
54,2010,D1,100,Men,"Prevost, Whitney",SR-4,Baylor,10:43,10.43,,,,Texas Invite,"May 1, 2010"
59,2010,D1,100,Men,"Barnes, Mark",SO-2,TCU,10:44,10.44,,,,Mountain West Outdoor Track & Field Championships,"May 12, 2010"
59,2010,D1,100,Men,"Dawson, Skye",SR-4,TCU,10:44,10.44,,,,Mountain West Outdoor Track & Field Championships,"May 12, 2010"
59,2010,D1,100,Men,"Bonde, Marvin",SR-4,Oral Roberts,10:44,10.44,,,,Summit League Outdoor Track & Field Championships,"May 13, 2010"
59,2010,D1,100,Men,"Burns, Demond",SR-4,Arkansas-Little Rock,10:44,10.44,,,,Sun Belt Outdoor Track & Field Championships,"May 7, 2010"
59,2010,D1,100,Men,"Johnson, Johnathan",FR-1,LSU,10:44,10.44,,,,LSU Relays (College/Open),"Mar 26, 2010"
59,2010,D1,100,Men,"Mungwari, Lionel",,Texas-Arlington,10:44,10.44,,,,Northwestern State Invitational,"May 1, 2010"
65,2010,D1,100,Men,"McGhee, Payton",SR-4,Troy,10:45,10.45,,,,Sun Belt Outdoor Track & Field Championships,"May 7, 2010"
65,2010,D1,100,Men,"Redrick, Philip",JR-3,Texas Southern,10:45,10.45,,,,2010 Clyde Littlefield Texas Relays,"Mar 31, 2010"
65,2010,D1,100,Men,"Ruffin, Rachaunn",SO-2,George Mason,10:45,10.45,,,,Raleigh Relays,"Mar 26, 2010"
65,2010,D1,100,Men,"Stewart, Kevin",JR-3,Louisiana Tech,10:45,10.45,,,,2010 Western Athletic Conference Championships,"May 12, 2010"
69,2010,D1,100,Men,"DeHaven, Michael",JR-3,Auburn,10:46,10.46,,,,Auburn War Eagle Invitational,"Apr 16, 2010"
69,2010,D1,100,Men,"Howell, Tran",SR-4,Texas A&M,10:46,10.46,,,,Big 12 Championships,"May 14, 2010"
69,2010,D1,100,Men,"Moore, Larrone",JR-3,Delaware State,10:46,10.46,,,,MEAC Outdoor Championships,"May 6, 2010"
72,2010,D1,100,Men,"Dixon, Reggie",SR-4,Hampton,10:47,10.47,,,,MEAC Outdoor Championships,"May 6, 2010"
72,2010,D1,100,Men,"Harris, Eric",FR-1,Georgia,10:47,10.47,,,,Georgia Tech Yellow Jacket Invitational,"Mar 26, 2010"
72,2010,D1,100,Men,"Lemon, Aubrey",SR-4,South Carolina St.,10:47,10.47,,,,MEAC Outdoor Championships,"May 6, 2010"
72,2010,D1,100,Men,"Murray, Marlon",JR-3,Washington St.,10:47,10.47,,,,Pac-10 Track & Field Championships,"May 15, 2010"
76,2010,D1,100,Men,"Butler, LaShawn",JR-3,Arkansas,10:48,10.48,,,,Arkansas Twilight,"Apr 30, 2010"
76,2010,D1,100,Men,"Fraser, Warren",JR-3,Clemson,10:48,10.48,,,,ACC Outdoor Championships,"Apr 15, 2010"
76,2010,D1,100,Men,"Gray, Jarryd",SR-4,Prairie View,10:48,10.48,,,,2010 SWAC Track and Field Outdoor Championship,"Apr 29, 2010"
76,2010,D1,100,Men,"McLeod, Antonio",SR-4,Troy,10:48,10.48,,,,FSU Relays,"Mar 25, 2010"
76,2010,D1,100,Men,"Reese, Reggie",SR-4,North Carolina St.,10:48,10.48,,,,Tony Waldrop Tar Heel Invitational,"May 8, 2010"
81,2010,D1,100,Men,"Michel, Stephen",SR-4,Wyoming,10:49,10.49,,,,Mountain West Outdoor Track & Field Championships,"May 12, 2010"
81,2010,D1,100,Men,"Arukwe, Stanley",,Troy,10:49,10.49,,,,USA Invitational,"Apr 10, 2010"
81,2010,D1,100,Men,"Boey, Zye",SR-4,Eastern Illinois,10:49,10.49,,,,Ohio Valley Conference Championship,"Apr 30, 2010"
81,2010,D1,100,Men,"Cherry, D'Angelo",SR-4,Mississippi St.,10:49,10.49,,,,Auburn War Eagle Invitational,"Apr 16, 2010"
81,2010,D1,100,Men,"Herrera, Taylor",FR-1,Cal Poly,10:49,10.49,,,,Cal Poly Dual Meet,"May 1, 2010"
81,2010,D1,100,Men,"Lawrence, Torrin",SO-2,Georgia,10:49,10.49,,,,Georgia vs. Georgia Tech,"Mar 20, 2010"
81,2010,D1,100,Men,"Smith, Jeff",SR-4,Boston College,10:49,10.49,,,,ACC Outdoor Championships,"Apr 15, 2010"
81,2010,D1,100,Men,"Sweeney, Isaiah",SR-4,Houston,10:49,10.49,,,,Conference USA Outdoor Championships,"May 13, 2010"
89,2010,D1,100,Men,"Akinkuotu, A'Tolani",SR-4,North Carolina St.,10:50,10.5,,,,Charlotte 49er Classic,"Mar 18, 2010"
89,2010,D1,100,Men,"Allen, Clint",SR-4,Eastern Michigan,10:50,10.5,,,,Mid-American Conference Outdoor Championships,"May 13, 2010"
89,2010,D1,100,Men,"Blanshan, Brett",,Washington St.,10:50,10.5,,,,UW vs. WSU,"May 1, 2010"
89,2010,D1,100,Men,"Fontus, Gregory",SR-4,South Florida,10:50,10.5,,,,USF Bulls Invitational,"Mar 19, 2010"
89,2010,D1,100,Men,"Gauntlett, Akheem",SO-2,Maryland-Eastern Shore,10:50,10.5,,,,Wake Forest Open,"Mar 19, 2010"
89,2010,D1,100,Men,"Graphenreed, Anton",SR-4,South Alabama,10:50,10.5,,,,Battle of I-10 Tri-Meet,"Mar 27, 2010"
89,2010,D1,100,Men,"Hornsby, Greg",,Washington St.,10:50,10.5,,,,UW vs. WSU,"May 1, 2010"
96,2010,D1,100,Men,"Harris, Mario",,Wyoming,10:51,10.51,,,,Mountain West Outdoor Track & Field Championships,"May 12, 2010"
96,2010,D1,100,Men,"Boyd, Jheranie",FR-1,North Carolina,10:51,10.51,,,,ACC Outdoor Championships,"Apr 15, 2010"
96,2010,D1,100,Men,"Ferguson, Phil",SR-4,Akron,10:51,10.51,,,,Northeast Ohio Quad @ Akron,"Apr 9, 2010"
96,2010,D1,100,Men,"Jones, Justin",,UL-Lafayette,10:51,10.51,,,,Battle of I-10 Tri-Meet,"Mar 27, 2010"
96,2010,D1,100,Men,"Lewis, Armahd",JR-3,Utah State,10:51,10.51,,,,2010 Western Athletic Conference Championships,"May 12, 2010"
96,2010,D1,100,Men,"Spreads, Dantwan",SR-4,Charleston Southern,10:51,10.51,,,,Big South Conference Championships,"Apr 15, 2010"
102,2010,D1,100,Men,"Clayton, Kyle",SR-4,Lafayette,10:52,10.52,,,,IC4A Outdoor Championship,"May 14, 2010"
102,2010,D1,100,Men,"Drinks, Jesse",FR-1,Connecticut,10:52,10.52,,,,UCONN Women's Select & Men's,"Apr 17, 2010"
102,2010,D1,100,Men,"James, LaMichael",JR-3,Oregon,10:52,10.52,,,,Pac-10 Track & Field Championships,"May 15, 2010"
102,2010,D1,100,Men,"Plump, Eric",SR-4,Savannah State,10:52,10.52,,,,Georgia Invitational,"May 8, 2010"
102,2010,D1,100,Men,"Rankin, Jeremy",FR-1,Florida,10:52,10.52,,,,FSU Seminole Twilight,"May 7, 2010"
102,2010,D1,100,Men,"Riley, Andrew",SR-4,Illinois,10:52,10.52,,,,Big Ten Conference Outdoor Championships,"May 14, 2010"
102,2010,D1,100,Men,"Sales, Dante",JR-3,Western Kentucky,10:52,10.52,,,,Vanderbilt Invitational,"Apr 16, 2010"
102,2010,D1,100,Men,"Sayon, Zeke",SR-4,Iowa,10:52,10.52,,,,Musco Invitational,"May 1, 2010"
102,2010,D1,100,Men,"Smith, Brandon",SR-4,UCLA,10:52,10.52,,,,Pac-10 Track & Field Championships,"May 15, 2010"
102,2010,D1,100,Men,"Talley, Keyth",SO-2,North Texas,10:52,10.52,,,,UTA Bobby Lane Track & Field Invitational,"Mar 26, 2010"
102,2010,D1,100,Men,"Williams, Darryl",,N. Carolina A&T,10:52,10.52,,,,2010 International Friendship & Freedom Game,"Apr 17, 2010"
113,2010,D1,100,Men,"Powell, Landon",,Appalachian State,10:53,10.53,,,,Southern Conference Championship,"Apr 24, 2010"
113,2010,D1,100,Men,"Carter, Terry",SR-4,Louisiana Tech,10:53,10.53,,,,2010 Western Athletic Conference Championships,"May 12, 2010"
113,2010,D1,100,Men,"House, Demario",FR-1,Charlotte,10:53,10.53,,,,Auburn Tiger Track Classic,"Apr 2, 2010"
113,2010,D1,100,Men,"Lamar, Lindsey",FR-1,South Florida,10:53,10.53,,,,USF Bulls Invitational,"Mar 19, 2010"
113,2010,D1,100,Men,"Lewis, Austin",,East Carolina,10:53,10.53,,,,Conference USA Outdoor Championships,"May 13, 2010"
113,2010,D1,100,Men,"McClellan, Hakim",SR-4,Mississippi Valley,10:53,10.53,,,,2010 SWAC Track and Field Outdoor Championship,"Apr 29, 2010"
113,2010,D1,100,Men,"McKinzie, Carl",SR-4,Florida A&M,10:53,10.53,,,,USA Invitational,"Apr 10, 2010"
113,2010,D1,100,Men,"Mitchell, Jacob",,Eastern Illinois,10:53,10.53,,,,Lee Calhoun Invitational,"Apr 10, 2010"
113,2010,D1,100,Men,"Proctor, Michael",SR-4,Georgia,10:53,10.53,,,,Georgia Invitational,"May 8, 2010"
113,2010,D1,100,Men,"Reid, Jonathan",SR-4,Wake Forest,10:53,10.53,,,,Clemson Orange & Purple Invitational,"May 7, 2010"
123,2010,D1,100,Men,"Battle, Allante",SR-4,Arizona State,10:54,10.54,,,,31st Sun Angel Track Classic - University,"Apr 8, 2010"
123,2010,D1,100,Men,"Cole, Reindell",SR-4,Cal St. Northridge,10:54,10.54,,,,Big West Conference Track & Field Championships,"May 14, 2010"
123,2010,D1,100,Men,"Simmons, Tyler",SR-4,Wichita State,10:54,10.54,,,,Sooner May Open,"May 8, 2010"
126,2010,D1,100,Men,"Coniglio, Jason",JR-3,Kansas State,10:55,10.55,,,,Ward Haylett,"May 1, 2010"
126,2010,D1,100,Men,"Furr, Hunter",FR-1,North Carolina,10:55,10.55,,,,ACC Outdoor Championships,"Apr 15, 2010"
126,2010,D1,100,Men,"Parker, Cameron",,Fresno State,10:55,10.55,,,,Fresno State Dual Meet,"May 1, 2010"
126,2010,D1,100,Men,"Spann, Mario",SR-4,Southern Miss.,10:55,10.55,,,,Auburn Tiger Track Classic,"Apr 2, 2010"
126,2010,D1,100,Men,"Spradley, Brandon",JR-3,Alabama,10:55,10.55,,,,Alabama Relays,"Mar 25, 2010"
126,2010,D1,100,Men,"Thomas, Courtney",SR-4,Baylor,10:55,10.55,,,,2010 Clyde Littlefield Texas Relays,"Mar 31, 2010"
126,2010,D1,100,Men,"Yeboah, Edmund",JR-3,UTSA,10:55,10.55,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
133,2010,D1,100,Men,"Alston, Jamal",SR-4,UCLA,10:56,10.56,,,,Rafer Johnson/Jackie Joyner-Kersee Invite,"Apr 8, 2010"
133,2010,D1,100,Men,"Christian, Justin",SR-4,Mississippi St.,10:56,10.56,,,,Penn Relays,"Apr 20, 2010"
133,2010,D1,100,Men,"Gyasi, Isiah",SR-4,East Carolina,10:56,10.56,,,,Conference USA Outdoor Championships,"May 13, 2010"
133,2010,D1,100,Men,"Hardesty, Kelvin",JR-3,North Carolina,10:56,10.56,,,,2010 Florida Relays,"Apr 2, 2010"
133,2010,D1,100,Men,"Leonce, Burke",SR-4,Troy,10:56,10.56,,,,Auburn War Eagle Invitational,"Apr 16, 2010"
133,2010,D1,100,Men,"Norvell, Antonio",JR-3,VCU,10:56,10.56,,,,Wake Forest Open,"Mar 19, 2010"
133,2010,D1,100,Men,"Owens, Bruce",SR-4,Rutgers,10:56,10.56,,,,2010 BIG EAST Outdoor Track & Field Championships,"Apr 30, 2010"
133,2010,D1,100,Men,"Rolle, Karlton",SR-4,UCLA,10:56,10.56,,,,USC vs UCLA Dual Meet,"May 1, 2010"
133,2010,D1,100,Men,"Speller, Thomas",SO-2,Norfolk State,10:56,10.56,,,,MEAC Outdoor Championships,"May 6, 2010"
133,2010,D1,100,Men,"Stephens, Marcus",SR-4,South Carolina St.,10:56,10.56,,,,CCU Shamrock 2010,"Mar 18, 2010"
133,2010,D1,100,Men,"Waller, Deangelo",SR-4,Grambling,10:56,10.56,,,,2010 SWAC Track and Field Outdoor Championship,"Apr 29, 2010"
144,2010,D1,100,Men,"Hawk, Rashad",JR-3,Texas Tech,10:57,10.57,,,,Texas Tech vs. Nebraska Dual Meet,"May 1, 2010"
144,2010,D1,100,Men,"Carruth, Rocky",SR-4,SE Louisiana,10:57,10.57,,,,Northwestern State Invitational,"May 1, 2010"
144,2010,D1,100,Men,"Gbagbeke, Stanley",JR-3,Mid. Tenn. State,10:57,10.57,,,,Sea Ray Relays,"Apr 7, 2010"
144,2010,D1,100,Men,"King, Sean",SR-4,Minnesota,10:57,10.57,,,,Musco Invitational,"May 1, 2010"
144,2010,D1,100,Men,"McQuay, Tony",,Florida,10:57,10.57,,,,UCF Invitational,"Mar 26, 2010"
144,2010,D1,100,Men,"Pierson, Evan",,Oklahoma,10:57,10.57,,,,Sooner Invitational,"Apr 23, 2010"
144,2010,D1,100,Men,"Womack, Tory",SO-2,Western Kentucky,10:57,10.57,,,,Sun Belt Outdoor Track & Field Championships,"May 7, 2010"
151,2010,D1,100,Men,"Young, Dominique",SR-4,Western Carolina,10:58,10.58,,,,Southern Conference Championship,"Apr 24, 2010"
151,2010,D1,100,Men,"Benton, Travis",FR-1,Kennesaw State,10:58,10.58,,,,Georgia Tech 3-Way,"May 1, 2010"
151,2010,D1,100,Men,"Butler, Kind",,Indiana,10:58,10.58,,,,Alabama Relays,"Mar 25, 2010"
151,2010,D1,100,Men,"Carroll, Randall",,UCLA,10:58,10.58,,,,Cal/Nevada Collegiate Championship,"Mar 27, 2010"
151,2010,D1,100,Men,"Franklin, Greg",SR-4,Mid. Tenn. State,10:58,10.58,,,,Vanderbilt Invitational,"Apr 16, 2010"
151,2010,D1,100,Men,"Holman, Cory",SR-4,Georgia,10:58,10.58,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
151,2010,D1,100,Men,"Johnson, Jeremy",,UNC-Wilmington,10:58,10.58,,,,Charlotte Invitational,"Apr 17, 2010"
151,2010,D1,100,Men,"Nolan, Errol",,Houston,10:58,10.58,,,,Rice Field and Track Meet,"May 6, 2010"
151,2010,D1,100,Men,"Reid, David",JR-3,Cal St. Northridge,10:58,10.58,,,,Big West Conference Track & Field Championships,"May 14, 2010"
160,2010,D1,100,Men,"Belch, Daniel",SR-4,Stanford,10:59,10.59,,,,Cal vs. Stanford Big Meet,"Apr 10, 2010"
160,2010,D1,100,Men,"Hamilton, Ryan",SR-4,Washington,10:59,10.59,,,,UW vs. WSU,"May 1, 2010"
160,2010,D1,100,Men,"Pipkin, Devin",JR-3,Indiana,10:59,10.59,,,,25th Jesse Owens Track Classic,"Apr 30, 2010"
160,2010,D1,100,Men,"Richardson, D'Juan",SR-4,Iowa,10:59,10.59,,,,Musco Invitational,"May 1, 2010"
160,2010,D1,100,Men,"Shogbuyi, Azeez",SR-4,Illinois,10:59,10.59,,,,Illinois Twilight,"Apr 30, 2010"
165,2010,D1,100,Men,"Cobb, Travis",,Arizona,10:60,10.6,,,,Pac-10 Track & Field Championships,"May 15, 2010"
165,2010,D1,100,Men,"Freeland, Emmanuel",JR-3,Temple,10:60,10.6,,,,Atlantic 10 Outdoor Championships,"May 1, 2010"
165,2010,D1,100,Men,"Hopkins, Derrick",JR-3,South Florida,10:60,10.6,,,,2010 BIG EAST Outdoor Track & Field Championships,"Apr 30, 2010"
165,2010,D1,100,Men,"Moore, Dennis",SR-4,Appalachian State,10:60,10.6,,,,Tony Waldrop Tar Heel Invitational,"May 8, 2010"
169,2010,D1,100,Men,"Anderson, Justin",FR-1,North Texas,10:61,10.61,,,,UTA Bobby Lane Track & Field Invitational,"Mar 26, 2010"
169,2010,D1,100,Men,"Bell, Isaih",,Bucknell,10:61,10.61,,,,Bucknell Bison Outdoor Classic,"Apr 9, 2010"
169,2010,D1,100,Men,"Coppage, Will",SR-4,LSU,10:61,10.61,,,,UL-Lafayette LOUSIANA CLASSICS Invite & Multi-Events,"Mar 18, 2010"
169,2010,D1,100,Men,"Delisser, Sean",SO-2,Alabama A&M,10:61,10.61,,,,2010 SWAC Track and Field Outdoor Championship,"Apr 29, 2010"
169,2010,D1,100,Men,"Hebert, Adam",FR-1,UTSA,10:61,10.61,,,,Tiger Twilight,"Apr 16, 2010"
169,2010,D1,100,Men,"Hollingsworth, Anthony",,Illinois-Chicago,10:61,10.61,,,,Chicagoland Championships,"Apr 9, 2010"
169,2010,D1,100,Men,"Michener, Sam",SR-4,Idaho,10:61,10.61,,,,2010 Western Athletic Conference Championships,"May 12, 2010"
169,2010,D1,100,Men,"Miller, Antwaine",,Cal Poly,10:61,10.61,,,,Cal Poly/Fresno Dual Meet,"Mar 13, 2010"
169,2010,D1,100,Men,"Stoneham, OJ",SO-2,TCU,10:61,10.61,,,,TCU Horned Frog Invitational,"Mar 19, 2010"
169,2010,D1,100,Men,"Vance, Justin",SR-4,Jackson State,10:61,10.61,,,,2010 SWAC Track and Field Outdoor Championship,"Apr 29, 2010"
169,2010,D1,100,Men,"VanDyke, DeMarcus",JR-3,Miami,10:61,10.61,,,,ACC Outdoor Championships,"Apr 15, 2010"
169,2010,D1,100,Men,"Walker, Quinten",SO-2,Norfolk State,10:61,10.61,,,,MEAC Outdoor Championships,"May 6, 2010"
181,2010,D1,100,Men,"Brown, Chadwich",SR-4,Mount St. Mary's,10:62,10.62,,,,Northeast Conference Championship,"May 1, 2010"
181,2010,D1,100,Men,"Carrier, Tyron",SR-4,Houston,10:62,10.62,,,,Conference USA Outdoor Championships,"May 13, 2010"
181,2010,D1,100,Men,"Hendricks, Garren",SR-4,Mississippi St.,10:62,10.62,,,,Ole Miss Invitational,"Apr 10, 2010"
181,2010,D1,100,Men,"Mvumvure, Gabriel",SR-4,LSU,10:62,10.62,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
181,2010,D1,100,Men,"Steinberg, Kevin",SO-2,Connecticut,10:62,10.62,,,,UCONN Women's Select & Men's,"Apr 17, 2010"
181,2010,D1,100,Men,"Washington, Nate",JR-3,Washington St.,10:62,10.62,,,,Pac-10 Track & Field Championships,"May 15, 2010"
187,2010,D1,100,Men,"Maughan, Matt",FR-1,Utah State,10:63,10.63,,,,2010 Mark Faldmo Invitational,"Apr 17, 2010"
187,2010,D1,100,Men,"Azie, Stanley",SR-4,Illinois,10:63,10.63,,,,Drake Relays,"Apr 21, 2010"
187,2010,D1,100,Men,"Baker, Darrius",,Savannah State,10:63,10.63,,,,Charlotte 49er Classic,"Mar 18, 2010"
187,2010,D1,100,Men,"Coleman, Mike",SR-4,Louisiana Tech,10:63,10.63,,,,2010 Western Athletic Conference Championships,"May 12, 2010"
187,2010,D1,100,Men,"Cray, Eric",SR-4,Bethune-Cookman,10:63,10.63,,,,USF Bulls Invitational,"Mar 19, 2010"
187,2010,D1,100,Men,"House, Earl",,N. Carolina A&T,10:63,10.63,,,,North Carolina A&T Invitational,"May 16, 2010"
187,2010,D1,100,Men,"Jackson, Kevin",FR-1,North Dakota St.,10:63,10.63,,,,Summit League Outdoor Track & Field Championships,"May 13, 2010"
187,2010,D1,100,Men,"Robinson, Stephen",SR-4,Ohio State,10:63,10.63,,,,Lenny Lyle / Clarke Wood Invite,"Apr 16, 2010"
187,2010,D1,100,Men,"Terrell, Matthew",,Ohio State,10:63,10.63,,,,25th Jesse Owens Track Classic,"Apr 30, 2010"
196,2010,D1,100,Men,"Dodson, Quinton",SO-2,Colorado,10:64,10.64,,,,Fum McGraw Open,"May 8, 2010"
