POSITION,CHAMP_YEAR,DIVISION,EVENT,SEX,ATHLETE,YEAR,TEAM,TIME,TIME_SECS,MARK,CONV,POINTS,MEET,MEET DATE
16,2010,D1,100,Women,"Lucas, Porscha",SR-4,Texas A&M,11:36,11.36,,,,Big 12 Championships,"May 14, 2010"
17,2010,D1,100,Women,"Nembhard, Georgina",JR-3,Georgia,11:37,11.37,,,,Spec Towns National Team Invitational,"Apr 9, 2010"
17,2010,D1,100,Women,"Smith, Nivea",JR-3,Auburn,11:37,11.37,,,,Auburn War Eagle Invitational,"Apr 16, 2010"
19,2010,D1,100,Women,"Purvis, Amber",JR-3,Oregon,11:38,11.38,,,,Pac-10 Track & Field Championships,"May 15, 2010"
19,2010,D1,100,Women,"Whyte, Kristy",SR-4,Miami,11:38,11.38,,,,ACC Outdoor Championships,"Apr 15, 2010"
21,2010,D1,100,Women,"Riggien, Chastity",SR-4,Southern Miss.,11:39,11.39,,,,Auburn Tiger Track Classic,"Apr 2, 2010"
21,2010,D1,100,Women,"Sales, Quanisha",SR-4,Louisiana Tech,11:39,11.39,,,,2010 Western Athletic Conference Championships,"May 12, 2010"
23,2010,D1,100,Women,"Richards, Petrice",SR-4,Hampton,11:40,11.4,,,,MEAC Outdoor Championships,"May 6, 2010"
24,2010,D1,100,Women,"Glenn, Gabrielle",JR-3,South Carolina,11:42,11.42,,,,2010 International Friendship & Freedom Game,"Apr 17, 2010"
1,2010,D1,10000,Men,"Chelanga, Sam",JR-3,Liberty,27:08:39,1628.39,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
2,2010,D1,10000,Men,"Barnicle, Chris",SR-4,New Mexico,28:10:59,1690.59,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
3,2010,D1,10000,Men,"Beattie, John",SR-4,Tulsa,28:32:21,1712.21,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
4,2010,D1,10000,Men,"Kosgei, Samuel",SR-4,Lamar,28:32:62,1712.62,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
5,2010,D1,10000,Men,"Williams, Lex",SR-4,Michigan,28:34:28,1714.28,,,,Stanford Invitational,"Mar 26, 2010"
6,2010,D1,10000,Men,"Smith, Scott",SR-4,UC Santa Barbara,28:35:71,1715.71,,,,Stanford Invitational,"Mar 26, 2010"
7,2010,D1,10000,Men,"Fernandez, Eric",SR-4,Arkansas,28:37:77,1717.77,,,,Stanford Invitational,"Mar 26, 2010"
8,2010,D1,10000,Men,"Estrada, Diego",SR-4,Northern Arizona,28:40:19,1720.19,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
9,2010,D1,10000,Men,"Grey, Jon",JR-3,William and Mary,28:40:33,1720.33,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
10,2010,D1,10000,Men,"Gerrard, Keith",JR-3,New Mexico,28:42:51,1722.51,,,,Stanford Invitational,"Mar 26, 2010"
11,2010,D1,10000,Men,"Haile, Solomon",,Arkansas,28:43:35,1723.35,,,,Stanford Invitational,"Mar 26, 2010"
12,2010,D1,10000,Men,"Cherry, Jesse",SR-4,High Point,28:44:05,1724.05,,,,Stanford Invitational,"Mar 26, 2010"
13,2010,D1,10000,Men,"Kotter, Jonathan",JR-3,BYU,28:48:33,1728.33,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
14,2010,D1,10000,Men,"Llano, Matt",SR-4,Richmond,28:51:69,1731.69,,,,Stanford Invitational,"Mar 26, 2010"
15,2010,D1,10000,Men,"Boyer, Lane",SR-4,Arkansas,28:52:25,1732.25,,,,Stanford Invitational,"Mar 26, 2010"
16,2010,D1,10000,Men,"Osman, Ahmed",JR-3,Northern Arizona,28:52:57,1732.57,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
17,2010,D1,10000,Men,"Ashkettle, Ben",SR-4,Northern Arizona,28:52:72,1732.72,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
18,2010,D1,10000,Men,"Riley, Jake",SR-4,Stanford,28:54:69,1734.69,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
19,2010,D1,10000,Men,"Kipchumba, Alfred",SR-4,Portland,28:55:73,1735.73,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
20,2010,D1,10000,Men,"Schmitt, Jake",SR-4,Washington,28:56:21,1736.21,,,,Stanford Invitational,"Mar 26, 2010"
21,2010,D1,10000,Men,"Gregg, Brendan",SR-4,Stanford,28:56:44,1736.44,,,,Stanford Invitational,"Mar 26, 2010"
22,2010,D1,10000,Men,"Poore, Andrew",SO-2,Indiana,28:58:07,1738.07,,,,Stanford Invitational,"Mar 26, 2010"
23,2010,D1,10000,Men,"Krisch, Michael",SR-4,Georgetown,28:59:94,1739.94,,,,Stanford Invitational,"Mar 26, 2010"
24,2010,D1,10000,Men,"Anzures, Marco",SR-4,UCLA,29:00:21,1740.21,,,,Stanford Invitational,"Mar 26, 2010"
1,2010,D1,10000,Women,"Koll, Lisa",SR-4,Iowa State,31:18:07,1878.07,,,,Stanford Invitational,"Mar 26, 2010"
2,2010,D1,10000,Women,"Walkonen, Andrea",SR-4,Boston U.,32:31:33,1951.33,,,,Stanford Invitational,"Mar 26, 2010"
3,2010,D1,10000,Women,"Hogan, Megan",JR-3,George Washington,32:34:95,1954.95,,,,Stanford Invitational,"Mar 26, 2010"
4,2010,D1,10000,Women,"Erdelyi, Zsofia",JR-3,USC,33:18:75,1998.75,,,,Stanford Invitational,"Mar 26, 2010"
5,2010,D1,10000,Women,"Erdmann, Tara",JR-3,Loyola Marymount,33:22:79,2002.79,,,,Stanford Invitational,"Mar 26, 2010"
6,2010,D1,10000,Women,"Goetschius, Amanda",SR-4,Charlotte,33:23:12,2003.12,,,,Stanford Invitational,"Mar 26, 2010"
7,2010,D1,10000,Women,"Blood, Nicole",SR-4,Oregon,33:28:38,2008.38,,,,Pac-10 Track & Field Championships,"May 15, 2010"
8,2010,D1,10000,Women,"Domenichelli, Danielle",SR-4,UC Santa Barbara,33:29:65,2009.65,,,,Stanford Invitational,"Mar 26, 2010"
9,2010,D1,10000,Women,"Grandt, Clara",SR-4,West Virginia,33:31:80,2011.8,,,,2010 BIG EAST Outdoor Track & Field Championships,"Apr 30, 2010"
10,2010,D1,10000,Women,"Archer, Nicky",SR-4,New Mexico,33:32:83,2012.83,,,,Stanford Invitational,"Mar 26, 2010"
11,2010,D1,10000,Women,"Nero, Tonya",,Wichita State,33:32:84,2012.84,,,,Stanford Invitational,"Mar 26, 2010"
12,2010,D1,10000,Women,"Labeaud, Natasha",SR-4,Georgetown,33:34:61,2014.61,,,,Stanford Invitational,"Mar 26, 2010"
13,2010,D1,10000,Women,"Bridgmon, Mattie",SR-4,Oregon,33:38:79,2018.79,,,,Pac-10 Track & Field Championships,"May 15, 2010"
14,2010,D1,10000,Women,"Griffin, Georgia",,Stanford,33:39:52,2019.52,,,,Stanford Invitational,"Mar 26, 2010"
15,2010,D1,10000,Women,"Marcy, Stephanie",JR-3,Stanford,33:41:57,2021.57,,,,Pac-10 Track & Field Championships,"May 15, 2010"
16,2010,D1,10000,Women,"Campbell, Anita",SR-4,Washington,33:44:04,2024.04,,,,Pac-10 Track & Field Championships,"May 15, 2010"
17,2010,D1,10000,Women,"Meyer, Megan",,Arizona,33:46:96,2026.96,,,,Pac-10 Track & Field Championships,"May 15, 2010"
18,2010,D1,10000,Women,"Marino, Amanda",SR-4,Villanova,33:47:63,2027.63,,,,2010 BIG EAST Outdoor Track & Field Championships,"Apr 30, 2010"
19,2010,D1,10000,Women,"Pease, Sarah",JR-3,Indiana,33:51:86,2031.86,,,,Stanford Invitational,"Mar 26, 2010"
20,2010,D1,10000,Women,"Niehaus, Kate",JR-3,Stanford,33:55:33,2035.33,,,,Pac-10 Track & Field Championships,"May 15, 2010"
21,2010,D1,10000,Women,"Cummings, Sarah",JR-3,Princeton,33:55:91,2035.91,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
22,2010,D1,10000,Women,"DiCamillo, Katie",SR-4,Providence,33:57:10,2037.1,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
23,2010,D1,10000,Women,"Robinson, Wendi",SR-4,Indiana,33:57:31,2037.31,,,,Stanford Invitational,"Mar 26, 2010"
24,2010,D1,10000,Women,"Laskowske, Amy",SR-4,Minnesota,33:59:70,2039.7,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
1,2010,D1,100H,Women,"Harrison, Queen Quedith",SR-4,Virginia Tech,12:46,12.46,,,,Penn Relays,"Apr 20, 2010"
2,2010,D1,100H,Women,"Brown, Ti'erra",SR-4,Miami,12:82,12.82,,,,Georgia Tech Invitational (Division I),"May 14, 2010"
3,2010,D1,100H,Women,"Castlin, Kristi",SR-4,Virginia Tech,12:84,12.84,,,,Clemson Orange & Purple Invitational,"May 7, 2010"
4,2010,D1,100H,Women,"Ruddock, Natasha",JR-3,Texas A&M,12:87,12.87,,,,Penn Relays,"Apr 20, 2010"
5,2010,D1,100H,Women,"Coward, Jackie",JR-3,Central Florida,12:99,12.99,,,,Conference USA Outdoor Championships,"May 13, 2010"
6,2010,D1,100H,Women,"Greaves, Latoya",SR-4,Oklahoma,13:05,13.05,,,,Texas Invite,"May 1, 2010"
7,2010,D1,100H,Women,"Cobb, Antoinette",SR-4,Louisiana Tech,13:07,13.07,,,,2010 Western Athletic Conference Championships,"May 12, 2010"
7,2010,D1,100H,Women,"Wright, Letecia",SR-4,Ohio State,13:07,13.07,,,,Drake Relays,"Apr 21, 2010"
9,2010,D1,100H,Women,"Thomas, Vashti",SO-2,Texas A&M,13:08,13.08,,,,2010 Clyde Littlefield Texas Relays,"Mar 31, 2010"
10,2010,D1,100H,Women,"Barber, Aleesha",SR-4,Penn State,13:10,13.1,,,,Penn Relays,"Apr 20, 2010"
10,2010,D1,100H,Women,"Manning, Christina",SR-4,Ohio State,13:10,13.1,,,,Big Ten Conference Outdoor Championships,"May 14, 2010"
10,2010,D1,100H,Women,"Mayo, Gabby",JR-3,Texas A&M,13:10,13.1,,,,Oregon Pepsi Invitational,"Apr 10, 2010"
13,2010,D1,100H,Women,"Brathwaite, Sunita",SR-4,Charlotte,13:18,13.18,,,,North Carolina A&T Invitational,"May 16, 2010"
13,2010,D1,100H,Women,"Broom, Kimyon",SR-4,California,13:18,13.18,,,,Cal vs. Stanford Big Meet,"Apr 10, 2010"
13,2010,D1,100H,Women,"Robinson, Tamika",JR-3,Illinois,13:18,13.18,,,,Sea Ray Relays,"Apr 7, 2010"
16,2010,D1,100H,Women,"James, Tiki",SR-4,Central Florida,13:19,13.19,,,,Conference USA Outdoor Championships,"May 13, 2010"
17,2010,D1,100H,Women,"Clarke, Shalina",SR-4,USC,13:21,13.21,,,,2010 Clyde Littlefield Texas Relays,"Mar 31, 2010"
18,2010,D1,100H,Women,"Rowe, Lindsay",SR-4,UCLA,13:24,13.24,,,,Pac-10 Track & Field Championships,"May 15, 2010"
19,2010,D1,100H,Women,"Golladay, Michaylin",SR-4,Clemson,13:26,13.26,,,,Clemson Orange & Purple Invitational,"May 7, 2010"
19,2010,D1,100H,Women,"Ivy, Vanneish",SR-4,North Carolina,13:26,13.26,,,,ACC Outdoor Championships,"Apr 15, 2010"
19,2010,D1,100H,Women,"Ward, Shericka",SR-4,Villanova,13:26,13.26,,,,Penn Relays,"Apr 20, 2010"
22,2010,D1,100H,Women,"Adams, Alysha",SR-4,North Texas,13:29,13.29,,,,Sun Belt Outdoor Track & Field Championships,"May 7, 2010"
23,2010,D1,100H,Women,"Jones, Tenaya",SR-4,LSU,13:32,13.32,,,,2010 Clyde Littlefield Texas Relays,"Mar 31, 2010"
23,2010,D1,100H,Women,"Laing, Kimberley",JR-3,Alabama,13:32,13.32,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
1,2010,D1,110H,Men,"Ash, Ronnie",JR-3,Oklahoma,13:31,13.31,,,,Big 12 Championships,"May 14, 2010"
2,2010,D1,110H,Men,"Fourie, Lehann",SR-4,Nebraska,13:44,13.44,,,,Big 12 Championships,"May 14, 2010"
3,2010,D1,110H,Men,"Dutch, Johnny",JR-3,South Carolina,13:50,13.5,,,,Tony Waldrop Tar Heel Invitational,"May 8, 2010"
4,2010,D1,110H,Men,"Riley, Andrew",SR-4,Illinois,13:53,13.53,,,,LSU Alumni Gold,"Apr 16, 2010"
5,2010,D1,110H,Men,"Eaton, Ashton",SR-4,Oregon,13:54,13.54,,,,Pac-10 Track & Field Championships,"May 15, 2010"
6,2010,D1,110H,Men,"Nugent, Barrett",JR-3,LSU,13:56,13.56,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
7,2010,D1,110H,Men,"Nunley, Booker",SO-2,South Carolina,13:59,13.59,,,,South Carolina Weems Baskin Invite,"Mar 27, 2010"
8,2010,D1,110H,Men,"Stewart, Keiron",,Texas,13:60,13.6,,,,Arkansas vs. Texas,"Apr 17, 2010"
9,2010,D1,110H,Men,"Julmis, Jeffrey",,Kansas State,13:62,13.62,,,,Big 12 Championships,"May 14, 2010"
10,2010,D1,110H,Men,"Jackson, Robert",SR-4,Memphis,13:71,13.71,,,,Conference USA Outdoor Championships,"May 13, 2010"
10,2010,D1,110H,Men,"McCloud, Nick",SR-4,Stephen F. Austin,13:71,13.71,,,,2010 Clyde Littlefield Texas Relays,"Mar 31, 2010"
12,2010,D1,110H,Men,"LaCour, Cameron",FR-1,Houston,13:72,13.72,,,,Conference USA Outdoor Championships,"May 13, 2010"
13,2010,D1,110H,Men,"Brookins, Ronald",SR-4,Sacramento St.,13:76,13.76,,,,Brutus Hamilton Invitational,"Apr 23, 2010"
14,2010,D1,110H,Men,"Adams, Spencer",JR-3,Clemson,13:79,13.79,,,,ACC Outdoor Championships,"Apr 15, 2010"
14,2010,D1,110H,Men,"Anderson, Malcolm",,Oklahoma,13:79,13.79,,,,Texas Invite,"May 1, 2010"
14,2010,D1,110H,Men,"Baji, Balazs",FR-1,Kansas State,13:79,13.79,,,,Ward Haylett,"May 1, 2010"
14,2010,D1,110H,Men,"Gnepa, Polly",SR-4,UC Davis,13:79,13.79,,,,Big West Conference Track & Field Championships,"May 14, 2010"
14,2010,D1,110H,Men,"Sylve, Domonick",SR-4,Army,13:79,13.79,,,,Army vs. Navy,"Apr 10, 2010"
19,2010,D1,110H,Men,"Hyde, Jansen",SR-4,Texas Tech,13:80,13.8,,,,Texas Tech vs. Nebraska Dual Meet,"May 1, 2010"
19,2010,D1,110H,Men,"Ames, Brendan",SR-4,USC,13:80,13.8,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
19,2010,D1,110H,Men,"Hill, Devon",SR-4,Miami,13:80,13.8,,,,ACC Outdoor Championships,"Apr 15, 2010"
19,2010,D1,110H,Men,"Spurlock, Oscar",SR-4,USC,13:80,13.8,,,,Pac-10 Track & Field Championships,"May 15, 2010"
23,2010,D1,110H,Men,"Kinney, Chris",SR-4,Georgetown,13:82,13.82,,,,Raleigh Relays,"Mar 26, 2010"
23,2010,D1,110H,Men,"Nelms, Cory",SR-4,Miami,13:82,13.82,,,,ACC Outdoor Championships,"Apr 15, 2010"
1,2010,D1,1500,Men,"Wheating, Andrew",SR-4,Oregon,3:37:83,217.83,,,,Oregon Relays presented by Oregon Community Credit Union,"Apr 30, 2010"
2,2010,D1,1500,Men,"Emanuel, Lee",SR-4,New Mexico,3:38:79,218.79,,,,Oregon Relays presented by Oregon Community Credit Union,"Apr 30, 2010"
3,2010,D1,1500,Men,"Acosta, A.J.",JR-3,Oregon,3:39:44,219.44,,,,Oregon Relays presented by Oregon Community Credit Union,"Apr 30, 2010"
4,2010,D1,1500,Men,"Ferris, Dylan",SO-2,Stanford,3:40:07,220.07,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
5,2010,D1,1500,Men,"Kiboiywo, Felix",SR-4,Auburn,3:40:50,220.5,,,,Auburn War Eagle Invitational,"Apr 16, 2010"
6,2010,D1,1500,Men,"Hill, Ryan",,North Carolina St.,3:40:81,220.81,,,,Joe Hilton Carolina Fast Times,"Apr 10, 2010"
7,2010,D1,1500,Men,"Andrews, Robby",,Virginia,3:41:09,221.09,,,,North Carolina A&T Invitational,"May 16, 2010"
8,2010,D1,1500,Men,"Bor, Julius",JR-3,Alabama,3:41:11,221.11,,,,2010 Florida Relays,"Apr 2, 2010"
9,2010,D1,1500,Men,"Centrowitz, Matthew",JR-3,Oregon,3:41:16,221.16,,,,Pac-10 Track & Field Championships,"May 15, 2010"
10,2010,D1,1500,Men,"Foster, Ryan",JR-3,Penn State,3:41:26,221.26,,,,2010 Florida Relays,"Apr 2, 2010"
11,2010,D1,1500,Men,"Heath, Elliott",SR-4,Stanford,3:41:27,221.27,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
12,2010,D1,1500,Men,"Miller, Craig",SR-4,Wisconsin,3:41:42,221.42,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
13,2010,D1,1500,Men,"Sodaro, Steve",JR-3,California,3:41:69,221.69,,,,Brutus Hamilton Invitational,"Apr 23, 2010"
14,2010,D1,1500,Men,"Weirich, Brian",JR-3,BYU,3:41:70,221.7,,,,Mountain West Outdoor Track & Field Championships,"May 12, 2010"
15,2010,D1,1500,Men,"Bayer, Andrew",SR-4,Indiana,3:41:87,221.87,,,,Border Battle,"Apr 10, 2010"
16,2010,D1,1500,Men,"Blankenship, Ben",SR-4,Minnesota,3:41:96,221.96,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
17,2010,D1,1500,Men,"MacKenzie, Carl",JR-3,Villanova,3:41:99,221.99,,,,Swarthmore Last Chance Meet,"May 10, 2010"
18,2010,D1,1500,Men,"Bishop, David",SR-4,New Mexico,3:42:01,222.01,,,,Mountain West Outdoor Track & Field Championships,"May 12, 2010"
19,2010,D1,1500,Men,"Nanni, Cory",SR-4,Duke,3:42:07,222.07,,,,Joe Hilton Carolina Fast Times,"Apr 10, 2010"
20,2010,D1,1500,Men,"Fleet, Mac",SR-4,Oregon,3:42:11,222.11,,,,Oregon Twilight,"May 8, 2010"
21,2010,D1,1500,Men,"Miller, Brad",JR-3,Syracuse,3:42:12,222.12,,,,Joe Hilton Carolina Fast Times,"Apr 10, 2010"
22,2010,D1,1500,Men,"Patterson, Marlon",SR-4,UCLA,3:42:13,222.13,,,,Cal/Nevada Collegiate Championship,"Mar 27, 2010"
23,2010,D1,1500,Men,"Millington, Ross",SR-4,New Mexico,3:42:15,222.15,,,,Mountain West Outdoor Track & Field Championships,"May 12, 2010"
24,2010,D1,1500,Men,"Hammond, Michael",SR-4,Virginia Tech,3:42:17,222.17,,,,Georgia Tech Invitational (Division I),"May 14, 2010"
1,2010,D1,1500,Women,"Follett, Katie",SR-4,Washington,4:10:66,250.66,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
2,2010,D1,1500,Women,"Buckman, Zoe",SR-4,Oregon,4:12:80,252.8,,,,Oregon Preview,"Mar 20, 2010"
3,2010,D1,1500,Women,"Susa, Mihaela",JR-3,Oklahoma State,4:13:08,253.08,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
4,2010,D1,1500,Women,"Browning, Charlotte",SR-4,Florida,4:13:96,253.96,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
5,2010,D1,1500,Women,"Verplank, Ashley",SO-2,North Carolina,4:14:10,254.1,,,,North Carolina A&T Invitational,"May 16, 2010"
6,2010,D1,1500,Women,"McShine, Pilar",SR-4,Florida State,4:14:20,254.2,,,,FSU Seminole Twilight,"May 7, 2010"
7,2010,D1,1500,Women,"Bland, Keri",JR-3,West Virginia,4:14:52,254.52,,,,North Carolina A&T Invitational,"May 16, 2010"
8,2010,D1,1500,Women,"Hasay, Jordan",SR-4,Oregon,4:14:67,254.67,,,,Stanford Invitational,"Mar 26, 2010"
9,2010,D1,1500,Women,"Hamric, Karly",SR-4,West Virginia,4:15:32,255.32,,,,Swarthmore Last Chance Meet,"May 10, 2010"
10,2010,D1,1500,Women,"Bizzarri, Angela",SR-4,Illinois,4:15:42,255.42,,,,Big Ten Conference Outdoor Championships,"May 14, 2010"
11,2010,D1,1500,Women,"Anderson, Gabriele",SR-4,Minnesota,4:15:43,255.43,,,,Big Ten Conference Outdoor Championships,"May 14, 2010"
12,2010,D1,1500,Women,"Wright, Phoebe",SR-4,Tennessee,4:15:66,255.66,,,,Sea Ray Relays,"Apr 7, 2010"
13,2010,D1,1500,Women,"Felnagle, Brianna",SR-4,North Carolina,4:16:80,256.8,,,,Joe Hilton Carolina Fast Times,"Apr 10, 2010"
14,2010,D1,1500,Women,"Bonds, Lauren",SR-4,Kansas,4:17:27,257.27,,,,Stanford Payton Jordan Cardinal Inv,"May 1, 2010"
15,2010,D1,1500,Women,"Kesselring, Anne",SR-4,Oregon,4:17:71,257.71,,,,Oregon Twilight,"May 8, 2010"
16,2010,D1,1500,Women,"Flood, Betsy",SO-2,Iowa,4:17:75,257.75,,,,Big Ten Conference Outdoor Championships,"May 14, 2010"
17,2010,D1,1500,Women,"Van Dalen, Lucy",SR-4,Stony Brook,4:17:95,257.95,,,,Joe Hilton Carolina Fast Times,"Apr 10, 2010"
18,2010,D1,1500,Women,"Franek, Bridget",SR-4,Penn State,4:18:33,258.33,,,,Big Ten Conference Outdoor Championships,"May 14, 2010"
19,2010,D1,1500,Women,"MacLeod, Emily",JR-3,Michigan State,4:18:50,258.5,,,,Big Ten Conference Outdoor Championships,"May 14, 2010"
20,2010,D1,1500,Women,"Karunde, Caroline",JR-3,Texas Tech,4:18:57,258.57,,,,Texas Tech vs. Nebraska Dual Meet,"May 1, 2010"
21,2010,D1,1500,Women,"Krueger, Kristie",SR-4,Georgia,4:18:58,258.58,,,,2010 Florida Relays,"Apr 2, 2010"
22,2010,D1,1500,Women,"Blood, Nicole",SR-4,Oregon,4:18:85,258.85,,,,Oregon Twilight,"May 8, 2010"
23,2010,D1,1500,Women,"Dougherty, Ellen",SR-4,Villanova,4:18:91,258.91,,,,Swarthmore Last Chance Meet,"May 10, 2010"
